83011	1	4	0
83013	2	4	1
83013	2	6	998
83052	1	4	0
83058	2	4	0
83024	2	6	0
81002	3	4	0
83021	2	4	0
80428	2	4	1
80428	2	4	998
80206	1	6	0
83055	1	4	0
83059	2	4	0
83049	1	6	1
83049	1	4	998
83057	2	6	0
83069	3	6	0
83077	2	4	1
83077	2	6	998
83071	2	6	0
83067	2	6	1
83067	2	4	998
83079	1	4	1
83079	1	4	500
83079	1	6	998
83007	2	4	1
83007	2	4	998
78884	2	4	0
83003	1	6	1
83003	1	4	500
83003	1	4	998
83099	2	4	0
83048	3	4	0
83056	2	4	0
80457	2	4	998
80457	2	4	1
80207	1	6	0
83070	1	4	0
83018	2	4	0
83086	1	6	998
83086	1	4	1
83082	2	6	0
83002	3	6	0
83010	2	4	998
83010	2	6	1
83014	2	6	0
78821	2	6	0
83020	2	4	0
83008	1	4	998
83008	1	4	1
78810	1	6	0
83004	2	4	998
83004	2	4	500
83004	2	4	1
83006	1	6	998
83006	1	4	500
83006	1	4	1
83016	2	4	0
